t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,T,wx_cmd,wy_cmd,wz_cmd,solve_ms,t_progress,px_ref,py_ref,pz_ref,qw_ref,qx_ref,qy_ref,qz_ref
0.43,3.74395,0.542941,2.26509,4.38225,1.86698,1.00463,0.973599,0.124793,-0.00467865,0.191075,0.678555,-2.6134,-0.350799,1.05402,0.693977,-2.13621,-0.488089,0.245813,0.43,4.18628,0.793742,2.14375,0.963348,0.138012,-0.114477,0.199521
0.44,3.78777,0.561599,2.2747,4.38253,1.86445,0.91624,0.973384,0.130534,-0.0161698,0.187681,0.682926,-2.47815,-0.389712,1.40204,0.690881,-2.0517,-0.525824,0.231202,0.44,4.22388,0.80909,2.15279,0.963073,0.141789,-0.117213,0.19659
0.45,3.8316,0.580225,2.28343,4.38263,1.86087,0.831005,0.973048,0.136152,-0.0270087,0.18415,0.685181,-2.35728,-0.428291,1.76331,0.685708,-1.97597,-0.56306,0.231973,0.45,4.26137,0.824231,2.16147,0.962804,0.145546,-0.119886,0.193523
0.46,3.87542,0.598811,2.29133,4.38243,1.85614,0.749015,0.972611,0.141655,-0.037261,0.180481,0.68533,-2.2492,-0.466489,2.1319,0.678578,-1.90729,-0.599779,0.23013,0.46,4.29875,0.839161,2.16976,0.962544,0.14928,-0.122491,0.190319
0.47,3.91924,0.617342,2.29843,4.38181,1.85013,0.6703,0.972088,0.147047,-0.0469851,0.176674,0.683416,-2.15229,-0.504269,2.50305,0.669607,-1.84413,-0.635966,0.229885,0.47,4.33601,0.853876,2.17767,0.962291,0.152986,-0.125022,0.186976
0.48,3.96306,0.635807,2.30475,4.38067,1.84277,0.594842,0.971493,0.152333,-0.0562314,0.172728,0.679502,-2.06495,-0.541596,2.87291,0.65891,-1.78518,-0.671604,0.23329,0.48,4.37316,0.868373,2.18518,0.962049,0.15666,-0.127474,0.183493
0.49,4.00685,0.654191,2.31034,4.37889,1.83396,0.522588,0.970834,0.157515,-0.0650431,0.168641,0.673666,-1.98565,-0.578445,3.23845,0.646595,-1.72936,-0.70668,0.230022,0.49,4.41019,0.882647,2.19231,0.961818,0.160296,-0.129841,0.179871
0.5,4.05063,0.672479,2.31522,4.37639,1.82367,0.453453,0.970121,0.162593,-0.0734561,0.164415,0.665993,-1.91301,-0.614792,3.59727,0.632766,-1.67575,-0.741179,0.231535,0.5,4.44709,0.896695,2.19903,0.961598,0.163891,-0.132118,0.176107
0.51,4.09438,0.690657,2.31943,4.37307,1.81184,0.387333,0.969362,0.167567,-0.0815002,0.160049,0.656575,-1.84576,-0.650614,3.94749,0.617523,-1.62361,-0.775084,0.243799,0.51,4.48387,0.910514,2.20535,0.961392,0.167439,-0.134301,0.172202
0.52,4.13809,0.708709,2.32298,4.36887,1.79844,0.324107,0.968564,0.172436,-0.0891991,0.155544,0.645506,-1.7828,-0.685894,4.28766,0.600956,-1.57235,-0.808381,0.240891,0.52,4.52052,0.9241,2.21126,0.961199,0.170938,-0.136385,0.168156
0.53,4.18175,0.726619,2.32592,4.36371,1.78346,0.26364,0.967731,0.177197,-0.0965716,0.150901,0.632879,-1.72315,-0.720611,4.61663,0.583154,-1.5215,-0.841051,0.236312,0.53,4.55705,0.937449,2.21677,0.961021,0.174381,-0.138365,0.163968
0.54,4.22536,0.744371,2.32827,4.35754,1.76688,0.205791,0.966871,0.18185,-0.103632,0.146122,0.618785,-1.66599,-0.754748,4.93358,0.564197,-1.47074,-0.873078,0.230784,0.54,4.59344,0.950558,2.22186,0.960858,0.177766,-0.140238,0.159639
0.55,4.2689,0.761949,2.33005,4.3503,1.74871,0.150414,0.965988,0.18639,-0.110391,0.141209,0.603313,-1.61065,-0.788287,5.23787,0.54416,-1.41982,-0.904443,0.23187,0.55,4.6297,0.963424,2.22654,0.960711,0.181088,-0.141999,0.155169
0.56,4.31236,0.779338,2.33129,4.34196,1.72897,0.0973606,0.965087,0.190815,-0.116857,0.136165,0.586547,-1.55656,-0.82121,5.52905,0.523114,-1.36859,-0.935126,0.230746,0.56,4.66582,0.976043,2.23079,0.960581,0.184343,-0.143647,0.150558
0.57,4.35573,0.796521,2.33201,4.33249,1.70768,0.0464799,0.964174,0.195122,-0.123034,0.130994,0.568568,-1.50328,-0.853498,5.80683,0.501124,-1.31697,-0.96511,0.605226,0.57,4.7018,0.988412,2.23463,0.960467,0.187527,-0.145176,0.145807
0.58,4.399,0.813485,2.33223,4.32186,1.68486,-0.00237595,0.963252,0.199308,-0.128927,0.125698,0.549452,-1.45048,-0.885133,6.07103,0.478254,-1.26494,-0.994374,0.281946,0.58,4.73764,1.00053,2.23804,0.960371,0.190636,-0.146586,0.140917
0.59,4.44217,0.830212,2.33197,4.31005,1.66057,-0.0493527,0.962327,0.203371,-0.134537,0.120281,0.529272,-1.39789,-0.916096,6.3216,0.454563,-1.21252,-1.0229,0.235046,0.59,4.77334,1.01239,2.24103,0.960292,0.193667,-0.147874,0.135889
0.6,4.4852,0.84669,2.33125,4.29707,1.63485,-0.0945924,0.961402,0.207307,-0.139865,0.114747,0.508097,-1.34535,-0.946368,6.55857,0.430109,-1.1598,-1.05067,0.233141,0.6,4.8089,1.02399,2.24359,0.96023,0.196617,-0.149037,0.130723
0.61,4.5281,0.862903,2.33009,4.2829,1.60774,-0.138232,0.960483,0.211115,-0.144911,0.1091,0.485992,-1.29276,-0.97593,6.78202,0.404945,-1.10686,-1.07766,0.232328,0.61,4.8443,1.03533,2.24573,0.960185,0.19948,-0.150075,0.125422
0.62,4.57085,0.878838,2.3285,4.26755,1.57931,-0.180404,0.959574,0.214792,-0.149676,0.103344,0.46302,-1.24007,-1.00477,6.99215,0.379127,-1.05384,-1.10386,0.231556,0.62,4.87956,1.0464,2.24743,0.960156,0.202256,-0.150986,0.119987
0.63,4.61345,0.894483,2.32649,4.25104,1.54961,-0.221235,0.958677,0.218336,-0.154159,0.0974843,0.439242,-1.18728,-1.03285,7.18919,0.352709,-1.00087,-1.12926,0.233044,0.63,4.91466,1.05721,2.2487,0.960142,0.20494,-0.151771,0.114419
0.64,4.65587,0.909825,2.32408,4.23338,1.51871,-0.260842,0.957797,0.221745,-0.15836,0.0915241,0.414715,-1.13445,-1.06018,7.37343,0.325742,-0.948112,-1.15383,0.230384,0.64,4.94961,1.06774,2.24955,0.960144,0.20753,-0.152428,0.108721
0.65,4.69811,0.924852,2.32128,4.21459,1.48668,-0.299339,0.956937,0.225017,-0.162279,0.085468,0.389497,-1.08163,-1.08672,7.5452,0.298282,-0.895717,-1.17756,0.234491,0.65,4.9844,1.07801,2.24996,0.96016,0.210024,-0.152957,0.102894
0.66,4.74016,0.939554,2.3181,4.19472,1.45359,-0.33683,0.9561,0.228152,-0.165917,0.0793201,0.363643,-1.02894,-1.11247,7.70489,0.27038,-0.843849,-1.20044,0.232814,0.66,5.01903,1.08799,2.24993,0.960188,0.212418,-0.153361,0.0969398
0.67,4.782,0.95392,2.31455,4.17377,1.41951,-0.373415,0.955288,0.231148,-0.169276,0.0730847,0.337209,-0.976477,-1.1374,7.85291,0.242092,-0.792669,-1.22245,0.238127,0.67,5.05351,1.0977,2.24948,0.960229,0.21471,-0.153638,0.0908619
0.68,4.82363,0.96794,2.31063,4.15181,1.3845,-0.409183,0.954504,0.234004,-0.172356,0.0667658,0.31025,-0.924379,-1.16151,7.98971,0.213473,-0.742333,-1.2436,0.23042,0.68,5.08781,1.10713,2.2486,0.960279,0.216899,-0.153792,0.0846624
0.69,4.86503,0.981606,2.30637,4.12885,1.34864,-0.444218,0.953749,0.236721,-0.17516,0.0603673,0.28282,-0.872781,-1.18478,8.11578,0.184579,-0.69299,-1.26386,0.231696,0.69,5.12196,1.11627,2.24728,0.960337,0.218982,-0.153823,0.0783439
0.7,4.9062,0.994909,2.30175,4.10495,1.312,-0.478596,0.953026,0.239296,-0.177692,0.053893,0.254975,-0.821822,-1.20719,8.2316,0.155465,-0.644783,-1.28323,0.550247,0.7,5.15593,1.12513,2.24553,0.960402,0.220958,-0.153733,0.0719094
0.71,4.94713,1.00784,2.2968,4.08014,1.27465,-0.512386,0.952335,0.241731,-0.179954,0.0473467,0.22677,-0.771642,-1.22874,8.3377,0.126191,-0.597841,-1.30171,0.226182,0.71,5.18974,1.13369,2.24336,0.960472,0.222825,-0.153526,0.0653618
0.72,4.9878,1.0204,2.29151,4.05448,1.23667,-0.54565,0.951676,0.244025,-0.181951,0.040732,0.198262,-0.722381,-1.24942,8.43461,0.0968126,-0.552287,-1.31929,0.216146,0.72,5.22337,1.14197,2.24075,0.960544,0.224583,-0.153204,0.0587043
0.73,5.02822,1.03257,2.28589,4.028,1.1981,-0.578444,0.95105,0.246178,-0.183687,0.0340522,0.169508,-0.67417,-1.26923,8.52288,0.0673895,-0.508229,-1.33597,0.214858,0.73,5.25683,1.14996,2.23772,0.960617,0.226229,-0.152769,0.0519403
0.74,5.06836,1.04436,2.27994,4.00077,1.15903,-0.610817,0.950457,0.248191,-0.185169,0.0273109,0.140564,-0.627136,-1.28814,8.60305,0.0379799,-0.465762,-1.35174,0.218668,0.74,5.29011,1.15765,2.23426,0.960687,0.227763,-0.152225,0.0450734
0.75,5.10823,1.05575,2.27367,3.97281,1.11951,-0.642812,0.949896,0.250063,-0.186403,0.0205111,0.111488,-0.581397,-1.30617,8.67569,0.00864252,-0.424971,-1.36662,0.2232,0.75,5.32321,1.16505,2.23039,0.960754,0.229184,-0.151576,0.0381073
0.76,5.14781,1.06675,2.26709,3.94419,1.0796,-0.674466,0.949366,0.251796,-0.187393,0.0136559,0.0823377,-0.53706,-1.3233,8.74134,-0.0205644,-0.385927,-1.38059,0.214445,0.76,5.35614,1.17215,2.22609,0.960813,0.230492,-0.150825,0.0310457
0.77,5.18711,1.07734,2.26019,3.91494,1.03937,-0.705811,0.948866,0.253391,-0.188149,0.00674854,0.0531715,-0.494224,-1.33954,8.80056,-0.0495829,-0.348688,-1.39367,0.214409,0.77,5.38888,1.17894,2.22137,0.960863,0.231686,-0.149976,0.0238928
0.78,5.22611,1.08753,2.25297,3.88512,0.998851,-0.736874,0.948395,0.254848,-0.188677,-0.000208202,0.0240472,-0.452974,-1.35488,8.8539,-0.0783563,-0.313301,-1.40586,0.214821,0.78,5.42143,1.18544,2.21624,0.960901,0.232767,-0.149035,0.0166527
